Product_Name,Older Price,New Price,Discount,Rating
"(Renewed) Dell Intel Latitude E6420-i5-16 GB-500 GB 14-inches Laptop 2nd Gen Core i5/16GB/500GB/Windows 7/Integrated Graphics, Greyish Silver",₹ 50000,₹ 19998,(60% off),3.1 out of 5 stars
"(Renewed) Dell Latitude Air Laptop E7280 Intel Core i5 - 6300u Processor 6th Gen, 4 GB Ram & 512 GB SSD, 12.5 Inches (Ultra Slim & Feather Light 1KG) Notebook Computer",₹ 40000,₹ 19294,(51% off),3.9 out of 5 stars
"(Renewed) Dell Latitude Air Laptop E7280 Intel Core i5 - 6300u Processor 6th Gen, 8 GB Ram & 128 GB SSD, 12.5 inches Ultra Slim & Feather Light 1KG Notebook Computer, Windows 10 Pro",₹ 40000,₹ 19106,(52% off),3.5 out of 5 stars
(Renewed) Dell Latitude E6330 HD Light Business Laptop Intel Core i5 3320M/8 GB RAM/500 GB/Webcam/Bluetooth 4.0/USB 3.0/Windows 10 Pro/MS Office 19/Pan India Warranty 13.3 inches,₹ 40000,₹ 15997,(60% off),3.3 out of 5 stars
"(Renewed) Dell Latitude E7470, Intel Core i5 6th Gen/8gb/256gb Ssd/webcam/14''/Windows 10 Pro",₹ 50000,₹ 19467,(61% off),3.3 out of 5 stars
"(Renewed) Dell Latitude Laptop E5470 Intel Core I5 6Th Gen. - 6200U Processor, 8 Gb Ram & 128 Gb Ssd, Windows 10 Pro 14.1 Inches Hd Screen Notebook Computer",₹ 129000,₹ 18989,(85% off),3.1 out of 5 stars
"(Renewed) Dell Vostro 3rd Gen Intel Core i3 HD Business Laptop (8 GB RAM/320 GB HDD/14"" (35.6 cm)/Windows 10/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 89999,₹ 15999,(82% off),
"(Renewed) HP EliteBook 840 G2 Core i5 5th Gen, 8 GB RAM, 256 GB SSD, 14"" HD Thin and Light Laptop, Windows 10 Pro, MS Office, Integrated Graphics, Black",₹ 40000,₹ 19996,(50% off),2.5 out of 5 stars
(Renewed) Hp Probook 430 G1 13.3 Inches Hd Laptop (Intel I5 4Th Gen/8 Gb Ram/256 Gb Ssd/Wifi/Bluetooth 4.0/Windows 10 Pro/Ms Office/Webcam/Integrated Graphics/Thin & Light/Pan India Warranty),₹ 89999,₹ 19983,(77% off),3.0 out of 5 stars
(Renewed) Lenovo ThinkPad 14 inch (35.56 cm) HD Laptop (i3 6th Gen/8 GB DDR4 RAM/256 GB SSD/Wifi/Bluetooth 4.0/Windows 10 Pro/USB 3.0/MS Office/Webcam/Integrated Graphics/Thin and Light Laptop),₹ 50000,₹ 17999,(64% off),5.0 out of 5 stars
"(Renewed) Lenovo ThinkPad 14 inches, 35.6 cm HD Business Laptop, Intel Core i5-4th Gen/8 GB RAM/320 GB HDD/Windows 10 Pro/ MS Office/ Wifi/Bluetooth 4.0/Webcam/Integrated Graphics",₹ 40000,₹ 15998,(60% off),1.0 out of 5 stars
"(Renewed) Lenovo ThinkPad 14"" (35.6 cm) HD Business Laptop (Core i5-4th Gen/8 GB RAM/256 GB SSD/Windows 10 Pro/MS Office/Wifi/Webcam/Intel Graphics)",₹ 50000,₹ 17198,(65% off),4.0 out of 5 stars
"(Renewed) Lenovo ThinkPad 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/12.5"" (31.7 cm)/Windows 10/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹ 40000,₹ 15994,(60% off),2.5 out of 5 stars
"(Renewed) Lenovo ThinkPad 6th Gen Intel Core i3 Thin & Light HD Laptop (8 GB RAM/128 GB SSD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Integrated Graphics)",₹ 89999,₹ 15999,(82% off),3.0 out of 5 stars
