Company,Product,Memory,Storage,Processor,OS,Display,Pixels,Price
ACER,Aspire 3 A315-23,8 GB DDR4 RAM,512 GB SSD,AMD Quad Core Ryzen 5,Windows 10,15.6 inches,1920 x 1080,45441
ACER,Aspire 3 A315-58-38EV,4 GB DDR4 RAM,1 TB HDD,Core i3 11th Gen,Windows 10,15.6 inches,1920 x 1080,35800
ACER,Aspire 5 A515-56,8 GB DDR4 RAM,1 TB HDD,Core i5 11th Gen,Windows 10,15.6 inches,1920 x 1080,49850
ACER,Aspire 5 A515-57G,16 GB DDR4 RAM,512 GB SSD,Core i5 12th Gen,Windows 11,15.6 inches,1920 x 1080,62990
ACER,Aspire 7 A715-42G,8 GB DDR4 RAM,512 GB SSD,AMD Hexa Core Ryzen 5,Windows 11,15.6 inches,1920 x 1080,51999
ACER,Aspire 7 A715-42G Laptop,8 GB DDR4 RAM,512 GB SSD,AMD Hexa Core Ryzen 5,Windows 11,15.6 inches,1920 x 1080,51999
ACER,Extensa EX215-31,4 GB DDR4 RAM,256 GB SSD,Pentium Quad Core,Windows 10,15.6 inches,1366 x 768,24900
ACER,Predator Helios 300 G3-571-77QK,16 GB DDR4 RAM,256 GB SSD,Core i7 7th Gen,Windows 10,15.6 inches,1920 x 1080,167791
ACER,Spin 5 SP513-54N-74V2,16 GB LPDDR4 RAM,512 GB SSD,Core i7 10th Gen,Windows 10,13.3 inches,2256 x 1504,146902
ACER,Swift 3,8 GB LPDDR4X RAM,512 GB SSD,AMD Hexa Core Ryzen 5,Windows 11,14 inches,1920 x 1080,59999
ACER,Swift 5,8 GB LPDDR4 RAM,512 GB SSD,Core i5 11th Gen,Windows 11,14 inches,1920 x 1080,79999
ACER,Swift 5 Laptop,16 GB DDR4 RAM,1 TB SSD,Core i7 11th Gen,Windows 10,14 inches,1920 x 1080,94999
ACER,Swift 5 Laptop,16 GB LPDDR4 RAM,1 TB SSD,Core i7 11th Gen,Windows 11,14 inches,1920 x 1080,94990
ACER,Swift X,16 GB LPDDR4X RAM,1 TB SSD,AMD Octa Core Ryzen 7,Windows 11,14 inches,1920 x 1080,99990
APPLE,MacBook Air M1 MGN63H Ultrabook,8 GB DDR4 RAM,256 GB SSD,Apple M1,macOS Big Sur,13.3 inches,2560 x 1600,87900
APPLE,MacBook Air M1 MGN93H Ultrabook,8 GB DDR4 RAM,256 GB SSD,Apple M1,macOS Big Sur,13.3 inches,2560 x 1600,89900
